"countries","gdp.per.capita","healthcare.expense","life.expectancy","infant.mortality","mortality"
"Indonesia                                           ",3837.651731,2.86824059,71.282,21.7,6.433
"Rwanda                                              ",772.3184718,6.93017101,68.341,28.4,5.308
"Equatorial Guinea                                   ",9667.912252,3.01081419,58.061,64.1,9.542
"Russian Federation                                  ",10720.33259,5.34388065,72.43195122,5.9,12.4
"Burundi                                             ",292.9976307,7.51763725,60.898,42.6,8.106
"Mexico                                              ",9278.418168,5.51889515,74.947,13,5.933
"Burkina Faso                                        ",738.2741589,6.91190195,60.768,56.7,8.341
"Suriname                                            ",5626.795816,6.22976971,71.463,17,7.277
"China                                               ",8879.438149,5.15119171,76.47,7.9,7.11
"North Macedonia                                     ",5430.87421,6.5939827,75.589,8.7,9.965
"Norway                                              ",75496.75406,10.31589031,82.6097561,2.1,7.7
"Kiribati                                            ",1640.500104,10.77510738,67.851,42.3,6.396
"Botswana                                            ",7893.210108,6.13456821,68.812,32.5,5.834
"St. Vincent and the Grenadines                      ",7212.960181,4.3064785,72.3,14.3,9.162
"Qatar                                               ",61264.39648,2.72160077,79.981,6.1,1.169
"Armenia                                             ",3914.501268,10.36270523,74.797,11.6,9.862
"Samoa                                               ",4258.48627,5.50720882,73.046,13.7,5.296
"Timor-Leste                                         ",1294.715534,4.33655405,69.007,40.5,6.05
"India                                               ",1981.65105,3.53500652,69.165,31.4,7.21
"Dominican Republic                                  ",7609.338799,5.83058691,73.689,24.8,6.12
"Finland                                             ",46316.74546,9.14156628,81.63170732,2,9.8
"Guyana                                              ",4586.054572,5.65979004,69.624,25.9,7.365
"Sudan                                               ",1111.868449,6.30497503,64.881,43.1,7.261
"Vietnam                                             ",2365.621666,5.92534494,75.241,16.6,6.253
"Lithuania                                           ",16882.63947,6.47619867,75.4804878,3.6,14.2
"Solomon Islands                                     ",2059.045424,4.74138927,72.645,17.9,4.284
"Cuba                                                ",8541.210673,11.7113266,78.662,4,8.827
"Tunisia                                             ",3481.228739,7.25768566,76.31,14.7,6.274
"Papua New Guinea                                    ",2695.251883,2.27085471,64.01,37.8,7.521
"Honduras                                            ",2453.727896,7.00069904,74.898,15.4,4.428
"Cyprus                                              ",26338.69434,6.73828936,80.672,2,6.952
"Italy                                               ",32406.72032,8.6777401,82.94634146,2.8,10.7
"Liberia                                             ",698.7017644,8.15604591,63.295,64.3,7.729
"Bosnia and Herzegovina                              ",5394.59122,8.93159008,77.128,5.3,10.563
"Cabo Verde                                          ",3292.645755,5.36013222,72.57,14.5,5.682
